Playlist ID,Genre,Track ID,Track Position,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Date Sourced
37i9dQZF1DXcBWIGoYBM5M,Metal,0V3wPSX9ygBnCm8psDIegu,1,Anti-Hero,2022-10-21T04:00:55Z,0,200690,182,Midnights,album,|Taylor Swift,10/21/2022,4,1,4,0.13,0.637,0.643,1.80E-06,0.142,-6.571,0.0519,0.533,97.008,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,0WtM2NBVQNNJLh6scP13H8,2,Calm Down (with Selena Gomez),2022-10-21T04:00:55Z,92,239317,182,Calm Down (with Selena Gomez),single,|Rema|Selena Gomez,8/25/2022,11,1,4,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,0.802,106.999,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,3nqQXoyQOWXiESFLlDF1hG,3,Unholy (feat. Kim Petras),2022-10-21T04:00:55Z,100,156943,182,Unholy (feat. Kim Petras),single,|Sam Smith|Kim Petras,9/22/2022,2,1,4,0.013,0.714,0.472,4.51E-06,0.266,-7.375,0.0864,0.238,131.121,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,4uUG5RXrOk84mYEfFvj3cK,4,I'm Good (Blue),2022-10-21T04:00:55Z,98,175238,182,I'm Good (Blue),single,|David Guetta|Bebe Rexha,8/26/2022,7,0,4,0.00383,0.561,0.965,7.07E-06,0.371,-3.673,0.0343,0.304,128.04,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,4LRPiXqCikLlN15c3yImP7,5,As It Was,2022-10-21T04:00:55Z,95,167303,182,As It Was,single,|Harry Styles,3/31/2022,6,0,4,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,0.662,173.93,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,1xzi1Jcr7mEi9K2RfzLOqS,6,CUFF IT,2022-10-21T04:00:55Z,93,225388,183,RENAISSANCE,album,|Beyoncé,7/29/2022,7,1,4,0.0368,0.78,0.689,9.69E-06,0.0698,-5.668,0.141,0.642,115.042,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,38T0tPVZHcPZyhtOcCP7pF,7,STAR WALKIN' (League of Legends Worlds Anthem),2022-10-21T04:00:55Z,90,210575,183,STAR WALKIN' (League of Legends Worlds Anthem),single,|Lil Nas X,9/22/2022,2,0,4,0.148,0.637,0.715,0,0.0892,-4.971,0.0455,0.308,141.872,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,4h9wh7iOZ0GGn8QVp4RAOB,8,I Ain't Worried,2022-10-21T04:00:55Z,96,148485,182,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",single,|OneRepublic,5/13/2022,0,1,4,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,0.825,139.994,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,5ww2BF9slyYgNOk37BlC4u,9,La Bachata,2022-10-21T04:00:55Z,98,162637,183,La Bachata,single,|Manuel Turizo,5/26/2022,7,0,4,0.583,0.835,0.679,1.98E-06,0.218,-5.329,0.0364,0.85,124.98,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,4C6Uex2ILwJi9sZXRdmqXp,10,Super Freaky Girl,2022-10-21T04:00:55Z,92,170977,182,Super Freaky Girl,single,|Nicki Minaj,8/12/2022,2,1,4,0.0645,0.95,0.891,1.77E-05,0.309,-2.653,0.241,0.912,133.01,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,0O6u0VJ46W86TxN9wgyqDj,11,I Like You (A Happier Song) (with Doja Cat),2022-10-21T04:00:55Z,91,192840,182,Twelve Carat Toothache,album,|Post Malone|Doja Cat,6/3/2022,5,1,4,0.121,0.733,0.67,0,0.121,-6.009,0.0751,0.472,100.964,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,5jQI2r1RdgtuT8S3iG8zFC,12,Lavender Haze,2022-10-21T04:00:55Z,0,202395,182,Midnights,album,|Taylor Swift,10/21/2022,10,1,4,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,0.0976,96.985,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,76OGwb5RA9h4FxQPT33ekc,13,SNAP,2022-10-21T04:00:55Z,93,179551,183,SNAP,single,|Rosa Linn,3/19/2022,0,1,4,0.107,0.565,0.636,9.90E-06,0.447,-8.198,0.0638,0.525,170.01,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,1qEmFfgcLObUfQm0j1W2CK,14,Late Night Talking,2022-10-21T04:00:55Z,92,177954,183,Harry's House,album,|Harry Styles,5/20/2022,10,1,4,0.298,0.714,0.728,0,0.106,-4.595,0.0468,0.901,114.996,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,1IHWl5LamUGEuP4ozKQSXZ,15,Tití Me Preguntó,2022-10-21T04:00:55Z,97,243716,183,Un Verano Sin Ti,album,|Bad Bunny,5/6/2022,5,0,4,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,0.187,106.672,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,5IgjP7X4th6nMNDh4akUHb,16,Under The Influence,2022-10-21T04:00:55Z,96,184613,183,Indigo (Extended),album,|Chris Brown,10/4/2019,9,0,4,0.0635,0.733,0.69,1.18E-06,0.105,-5.529,0.0427,0.31,116.992,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,1PckUlxKqWQs3RlWXVBLw3,17,About Damn Time,2022-10-21T04:00:55Z,89,191822,178,About Damn Time,single,|Lizzo,4/14/2022,10,0,4,0.0995,0.836,0.743,0,0.335,-6.305,0.0656,0.722,108.966,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,73vIOb4Q7YN6HeJTbscRx5,18,Miss You,2022-10-21T04:00:55Z,88,206000,182,Miss You,single,|Oliver Tree|Robin Schulz,8/5/2022,6,0,4,0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,0.199,145.007,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,0HqZX76SFLDz2aW8aiqi7G,19,Bones,2022-10-21T04:00:55Z,89,165264,183,Bones,single,|Imagine Dragons,3/11/2022,5,0,4,0.0206,0.773,0.742,0,0.0754,-3.678,0.046,0.571,114.071,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,72yP0DUlWPyH8P7IoxskwN,20,Hold Me Closer,2022-10-21T04:00:55Z,89,202245,182,Hold Me Closer,single,|Elton John|Britney Spears,8/26/2022,0,1,4,0.0746,0.667,0.75,0.000198,0.197,-4.602,0.0906,0.486,126.041,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,6XO8RlYuJCiI0v3IA48FeJ,21,Bye Bye,2022-10-21T04:00:55Z,83,108498,182,Bye Bye,single,|Marshmello|Juice WRLD,10/14/2022,3,0,4,0.0574,0.645,0.525,0,0.505,-5.399,0.0355,0.238,83.018,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,0hquQWY3xvYqN4qtiquniF,22,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-10-21T04:00:55Z,89,182906,183,Vegas (From the Original Motion Picture Soundtrack ELVIS),single,|Doja Cat,5/6/2022,8,0,4,0.0777,0.801,0.601,3.23E-05,0.145,-7.574,0.255,0.74,159.969,10/22/2022
37i9dQZF1DXcBWIGoYBM5M,Metal,5CM4UuQ9Gnd6K2YyKGPMoK,23,Bad Habit,2022-10-21T04:00:55Z,92,232114,182,Bad Habit,single,|Steve Lacy,6/29/2022,1,1,4,0.626,0.686,0.507,7.51E-05,0.383,-7.097,0.0357,0.69,168.955,10/22/2022
